"gse"	"sample_count"	"title"	"type"	"gpl"	"gpl_title"	"manufacturer"
"GSE22219"	216	"Gene expression profiling of early primary breast cancer to identify prognostic markers and associated pathways"	"Expression profiling by array"	"GPL6098"	"Illumina humanRef-8 v1.0 expression beadchip"	"Illumina Inc."
"GSE22220"	426	"Analysis of early primary breast cancer to identify prognostic markers and associated pathways: mRNA and miRNA profiling"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL8178"	"Illumina Human v1 MicroRNA expression beadchip"	"Illumina Inc."
"GSE22220"	426	"Analysis of early primary breast cancer to identify prognostic markers and associated pathways: mRNA and miRNA profiling"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL6098"	"Illumina humanRef-8 v1.0 expression beadchip"	"Illumina Inc."
"GSE25055"	310	"Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE25065"	198	"Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE25066"	508	"Genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE26304"	115	"Molecular diversity in ductal carcinoma in situ (DCIS) and early invasive breast cancer"	"Expression profiling by array"	"GPL6848"	"Agilent-012391 Whole Human Genome Oligo Microarray G4112A (Probe Name version)"	"Agilent Technologies"
"GSE28321"	56	"Global MicroRNA Expression Profiling Identifies MiR-210 Associated with Tumor Proliferation, Invasion and Poor Clinical Outcome in Breast Cancer"	"Non-coding RNA profiling by array"	"GPL5106"	"mirVANA miRNA Bioarray V2"	"Ambion, Inc."
"GSE2990"	125	"Gene Expression Profiling in Breast Cancer: Understanding the Molecular Basis of Histologic Grade To Improve Prognosis"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE3143"	158	"Breast Cancer Dataset"	"Expression profiling by array"	"GPL8300"	"[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array"	"Affymetrix"
"GSE31448"	264	"Down-regulation of ECRG4, a candidate tumor suppressor gene  in human breast cancer"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE31863"	125	"Gene expression profiling in primary breast cancer distinguishes patients developing local recurrence after breast-conservation surgery, with or without postoperative radiotherapy."	"Expression profiling by array"	"GPL14374"	"SWEGENE Human_v2.1.1 55K_condensed"	"Swegene DNA Microarray Resource Centre"
"GSE33926"	51	"Molecular characteristics and metastasis predictor genes of triple-negative breast cancer"	"Expression profiling by array; Third-party reanalysis"	"GPL7264"	"Agilent-012097 Human 1A Microarray (V2) G4110B (Probe Name version)"	"Agilent Technologies"
"GSE37181"	123	"Subtype-dependent prognostic relevance of an interferon-induced pathway metagene in human node negative breast cancer"	"Expression profiling by array"	"GPL6884"	"Illumina HumanWG-6 v3.0 expression beadchip"	"Illumina Inc."
"GSE37405"	71	"Global microRNA expression profiling of high-risk ER+ breast cancers from patients receiving adjuvant Tamoxifen mono-therapy: a DBCG study"	"Non-coding RNA profiling by array"	"GPL15462"	"Exiqon miRCURY LNA microRNA array v.10.0 Extended Version"	"Exiqon"
"GSE37405"	71	"Global microRNA expression profiling of high-risk ER+ breast cancers from patients receiving adjuvant Tamoxifen mono-therapy: a DBCG study"	"Non-coding RNA profiling by array"	"GPL13703"	"Exiqon miRCURY LNA microRNA array v.11.0 Extended Version"	"Exiqon"
"GSE37405"	71	"Global microRNA expression profiling of high-risk ER+ breast cancers from patients receiving adjuvant Tamoxifen mono-therapy: a DBCG study"	"Non-coding RNA profiling by array"	"GPL14149"	"miRCURY LNA microRNA Array, 5th generation [Human miRBase 17]"	"Exiqon A/S"
"GSE37751"	108	"Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis (Affymetrix)"	"Expression profiling by array"	"GPL6244"	"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]"	"Affymetrix"
"GSE38057"	87	"A 13-gene signature predicting rapid development of brain metastases in breast cancer"	"Expression profiling by array"	"GPL5826"	"DASL Human Cancer Panel by Probe"	"Illumina, Inc."
"GSE39004"	170	"Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis"	"Expression profiling by array; Methylation profiling by array"	"GPL6244"	"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]"	"Affymetrix"
"GSE39004"	170	"Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis"	"Expression profiling by array; Methylation profiling by array"	"GPL13534"	"Illumina HumanMethylation450 BeadChip (HumanMethylation450_15017482)"	"Illumina, Inc."
"GSE40267"	181	"miRNA analysis of triple-negative breast cancers in association with clinical and molecular phenotypes"	"Non-coding RNA profiling by array"	"GPL10850"	"Agilent-021827 Human miRNA Microarray (V3) (miRBase release 12.0 miRNA ID version)"	"Agilent Technologies"
"GSE42568"	121	"Breast Cancer Gene Expression Analysis"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE48390"	81	"Concurrent Gene Signatures for Han Chinese Breast Cancers [Affymetrix]"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE48391"	81	"Concurrent Gene Signatures for Han Chinese Breast Cancers"	"Expression profiling by array; Genome variation profiling by array"	"GPL9075"	"Agilent-014698 Human Genome CGH Microarray 105A (G4412A) [Probe Name version]"	"Agilent Technologies"
"GSE48391"	81	"Concurrent Gene Signatures for Han Chinese Breast Cancers"	"Expression profiling by array; Genome variation profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE48408"	164	"Long non-coding RNA HOTAIR is an independent prognostic marker of metastasis in estrogen receptor positive primary breast cancer"	"Expression profiling by array"	"GPL15931"	"Agilent-029949 Custom SurePrint G3 Human GE 8x60K Microarray [Probe Name version]"	"Agilent Technologies"
"GSE4922"	498	"Genetic Reclassification of Histologic Grade Delineates New Clinical Subtypes of Breast Cancer"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE4922"	498	"Genetic Reclassification of Histologic Grade Delineates New Clinical Subtypes of Breast Cancer"	"Expression profiling by array"	"GPL97"	"[HG-U133B] Affymetrix Human Genome U133B Array"	"Affymetrix"
"GSE53031"	167	"Gene expression profiling of human breast cancer during pregnancy"	"Expression profiling by array"	"GPL13667"	"[HG-U219] Affymetrix Human Genome U219 Array"	"Affymetrix"
"GSE5327"	58	"Breast cancer relapse free survival and lung metastasis free survival"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE53752"	51	"Molecular characteristics and metastasis predictor genes of triple-negative breast cancer (II)"	"Expression profiling by array; Third-party reanalysis"	"GPL7264"	"Agilent-012097 Human 1A Microarray (V2) G4110B (Probe Name version)"	"Agilent Technologies"
"GSE57897"	453	"The prognostic and predictive value of a five-microRNA-based classifier in breast cancer"	"Non-coding RNA profiling by array"	"GPL18722"	"Homo sapiens microRNA array"	"State Key Laboratory of Oncology in South China,Sun Yat-sen University"
"GSE58812"	107	"Gene-expression molecular subtyping of triple-negative breast cancer tumours: importance of immune response"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE58984"	94	"Gene profiling of HER2 breast cancer patients treated with adjuvant trastuzumab"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE59246"	105	"Molecular features of subtype-specific progression from ductal carcinoma in situ to invasive breast cancer [gene expression data]"	"Expression profiling by array"	"GPL13607"	"Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Feature Number version)"	"Agilent Technologies"
"GSE59248"	153	"Molecular features of subtype-specific progression from ductal carcinoma in situ to invasive breast cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL13607"	"Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Feature Number version)"	"Agilent Technologies"
"GSE59248"	153	"Molecular features of subtype-specific progression from ductal carcinoma in situ to invasive breast cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL15019"	"Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray 030840 (miRBase release 14.0 miRNA ID version)"	"Agilent Technologies"
"GSE59829"	123	"Mir-30e* is an independent subtype-specific prognostic marker in breast cancer"	"Expression profiling by array"	"GPL8179"	"Illumina Human v2 MicroRNA expression beadchip"	"Illumina Inc."
"GSE61304"	62	"Novel bio-marker discovery for stratification and prognosis of breast cancer patients"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE65095"	203	"FinHER trial : Patients with human epidermal growth factor receptor 2 (HER2)–positive breast cancer"	"Expression profiling by array"	"GPL13667"	"[HG-U219] Affymetrix Human Genome U219 Array"	"Affymetrix"
"GSE6532"	677	"Definition of clinically distinct molecular subtypes in estrogen receptor positive breast carcinomas using genomic grade"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE6532"	677	"Definition of clinically distinct molecular subtypes in estrogen receptor positive breast carcinomas using genomic grade"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE6532"	677	"Definition of clinically distinct molecular subtypes in estrogen receptor positive breast carcinomas using genomic grade"	"Expression profiling by array"	"GPL97"	"[HG-U133B] Affymetrix Human Genome U133B Array"	"Affymetrix"
"GSE69031"	130	"caArray_gray-00248: Genomic and transcriptional aberrations linked to breast cancer pathophysiologies"	"Expression profiling by array"	"GPL571"	"[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array"	"Affymetrix"
"GSE71258"	128	"Identification of genes associated with breast cancer micrometastatic disease in bone marrow disseminated tumor cells (DTCs)"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE75669"	52	"miRNAs Expression of Mexican Patients with Breast Cancer"	"Non-coding RNA profiling by array"	"GPL7731"	"Agilent-019118 Human miRNA Microarray 2.0 G4470B (Feature Number version)"	"Agilent Technologies"
"GSE75678"	52	"Gene Expression of Mexican Patients with Breast Cancer"	"Expression profiling by array"	"GPL4133"	"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)"	"Agilent Technologies"
"GSE75685"	104	"Mexican Patients with Breast Cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL4133"	"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)"	"Agilent Technologies"
"GSE75685"	104	"Mexican Patients with Breast Cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL7731"	"Agilent-019118 Human miRNA Microarray 2.0 G4470B (Feature Number version)"	"Agilent Technologies"
"GSE81540"	3409	"Clinical Value of RNA-sequencing-based Classifiers for Prediction of the Five Conventional Breast Cancer Biomarkers: a Report From the Population-based Multicenter SCAN-B Study"	"Expression profiling by high throughput sequencing"	"GPL18573"	"Illumina NextSeq 500 (Homo sapiens)"	NA
"GSE81540"	3409	"Clinical Value of RNA-sequencing-based Classifiers for Prediction of the Five Conventional Breast Cancer Biomarkers: a Report From the Population-based Multicenter SCAN-B Study"	"Expression profiling by high throughput sequencing"	"GPL11154"	"Illumina HiSeq 2000 (Homo sapiens)"	NA
"GSE86166"	366	"Evaluation of Invasive Breast Cancer Using a 12-Chemokine Gene Expression Score: Correlation With Clinical Outcomes"	"Expression profiling by array"	"GPL15048"	"Rosetta/Merck Human RSTA Custom Affymetrix 2.0 microarray [HuRSTA_2a520709.CDF]"	"Affymetrix"
"GSE9014"	123	"Tumor-associated stroma derived from primary clinical breast cancer samples"	"Expression profiling by array"	"GPL1708"	"Agilent-012391 Whole Human Genome Oligo Microarray G4112A (Feature Number version)"	"Agilent Technologies"
"GSE9195"	77	"Predicting prognosis using molecular profiling in estrogen receptor-positive breast cancer treated with tamoxifen"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE96058"	3409	"Clinical Value of RNA-sequencing-based Classifiers for Prediction of the Five Conventional Breast Cancer Biomarkers: a Report From the Population-based Multicenter SCAN-B Study [cohort 3273]"	"Expression profiling by high throughput sequencing"	"GPL11154"	"Illumina HiSeq 2000 (Homo sapiens)"	NA
"GSE96058"	3409	"Clinical Value of RNA-sequencing-based Classifiers for Prediction of the Five Conventional Breast Cancer Biomarkers: a Report From the Population-based Multicenter SCAN-B Study [cohort 3273]"	"Expression profiling by high throughput sequencing"	"GPL18573"	"Illumina NextSeq 500 (Homo sapiens)"	NA
"GSE9893"	155	"A gene expression signature predicting the recurrence of tamoxifen-treated primary breast cancer."	"Expression profiling by array"	"GPL5049"	"MLRG Human 21K V12.0"	"Montpellier Génopole Microarray core facility"
